Ursprungsname;Anteil_NA;Anzahl_unters_Werte;Analysename
t_gemarkung.item.gis_hide.04;92.59;2;
t_gemarkung.item.gis_hide.05;94.66;2;
t_gemarkung.item.gis_hide.06;96.06;2;
t_gemarkung.item.gis_hide.07;97.49;2;
t_gemarkung.item.gis_hide.08;98.01;2;
t_gemarkung.item.gis_hide.09;98.78;2;
t_gemarkung.item.gis_hide.10;99.37;2;
t_gemarkung.item.gis_hide.11;99.37;2;
t_gemarkung.item.gis_hide.12;99.37;2;
t_gemarkung.item.hochwert;0;1051;Hochwert
t_gemarkung.item.hochwert.02;76.59;276;
t_gemarkung.item.hochwert.03;90.42;106;
t_gemarkung.item.hochwert.04;92.59;73;
t_gemarkung.item.hochwert.05;94.66;53;
t_gemarkung.item.hochwert.06;96.06;40;
t_gemarkung.item.hochwert.07;97.49;28;
t_gemarkung.item.hochwert.08;98.01;26;
t_gemarkung.item.hochwert.09;98.78;7;
t_gemarkung.item.hochwert.10;99.37;3;
t_gemarkung.item.hochwert.11;99.37;3;
t_gemarkung.item.hochwert.12;99.37;3;
t_gemarkung.item.l_bezugssystem;0;1;
t_gemarkung.item.l_bezugssystem.02;76.59;1;
t_gemarkung.item.l_bezugssystem.03;90.42;1;
t_gemarkung.item.l_bezugssystem.04;92.59;1;
t_gemarkung.item.l_bezugssystem.05;94.66;1;
t_gemarkung.item.l_bezugssystem.06;96.06;1;
t_gemarkung.item.l_bezugssystem.07;97.49;1;
t_gemarkung.item.l_bezugssystem.08;98.01;1;
t_gemarkung.item.l_bezugssystem.09;98.78;1;
t_gemarkung.item.l_bezugssystem.10;99.37;1;
t_gemarkung.item.l_bezugssystem.11;99.37;1;
